,text,category
33,இது இயற்கைனு சொல்ற அறிவாளிகளேஆணும் பெண்ணும் இணைவதுதான் இயற்கைஓரினச் சேர்க்கை இயற்கைக்கு விரோதம்எதிர்பாலின ஈர்ப்பே தெளிவான மனநிலைஓரினச் சேர்ககையென்பது ஒருவித மனநோய் தான்இதையும் தனிமனித உரிமைனு போர்க்கொடி அரைவேக்காடுகளை என்ன செய்வதென்று தெரியவில்லை                      ,Homophobia
34,நிங்கள்மேலும்வலர வழ்த்துக்கள் அன்ணா,Non-anti-LGBT+ content
35,நலூ பெர் செர்தந்து உதச்ச சரி பொது,Non-anti-LGBT+ content
36,உரலுக்கு உளக்கை தான் பொருந்தும்,Non-anti-LGBT+ content
37,கொப்பனும்ஆத்தாலும் சேராம போனா நீயும்தான் போறக்க முடியுமாஇல்லை இப்டி வந்து நக்கீரன்ல பேட்டிதான் கொடுக்க முடியுமா,Homophobia
38,உலகம் இப்போது தான் கனவை நிறைவேற்ற வருகிறது,Non-anti-LGBT+ content
39,ஒரினாச்சேர்க்கையில் ஒரு லாபம் இருக்கிறது எங்கும் குப்பைதொட்டிகளில் குழந்தைகள் வீசப்படுவது குறையும் பெண்சிசு  ஆண் சிசு கொலைகள் இருக்காது குழந்தைகள்அனாதை ஆசிராமாம் என்று ஒன்று இருக்காது ஏனேன்றால் இவர்களை போல் காதல் வயப்பாடும் சிலரின் அதர்வு இருக்கும் மற்ற குழந்தைகளுக்குவாழ்க lesbin வளர்கா guys                       ,Non-anti-LGBT+ content
40,ஏன்னா தமிழ் மரபு ல இல்லாத விஷயங்களே இல்லை இதுவும் வந்தேறி மார்க்கங்களுக்கு தான் இது தெரியாது,Non-anti-LGBT+ content
41,கள்ளிப்பால் ஊத்தி பெண் குழந்தைய கொல்லுறவன்  குப்ப தொட்டில குழந்தைய போட்டு போறவன்  காது கேக்காத சின்ன குழந்தைட்ட வல்லுறவு கொள்பவன்  குழந்தைகள பொண்டாட்டிய வேலைக்கு அனுப்சிட்டு வீட்ல உக்காந்து மது போதை அடிக்கிறதுல பாக்காத இயற்கை சீரழிவ முழு சம்மதத்தோட வயது வந்த இருவர் உறவு கொள்ரதுல இயற்கை அழியிதுன்னு நீ நினைச்சா தப்பு அவுங்க மேல இல்ல உன் பார்வைல தான்                      ,Non-anti-LGBT+ content
42,மாத்திக்கவே நினைத்துதாலும் மாத்த முடியாது,Non-anti-LGBT+ content
43,இது முன்னரே பேசி எடுக்கப்பட்ட வீடியோ என்பது நல்லா தெரிந்தாலும் தரும் செய்தி அருமை செய்தி,Non-anti-LGBT+ content
44,யாருனு தெரியாத பையனுக்கு இரக்கபட்ட அந்த மனசுதாயா கடவுள்,Non-anti-LGBT+ content
45,பணம் கொடுத்து டிக்கெட் எடுத்து பயணிக்கும் பயணிகள் அவமரியாதை செய்யப்படுகிறார்கள் ரயில்வே நிர்வாகம் பிச்சைகாரர்களை தடுக்க நடவடிக்கை எடுக்க வேண்டும்,Non-anti-LGBT+ content
46,இந்த பொண்ணு வேணும்,Non-anti-LGBT+ content
47,இந்த வீடியோவ comedy effect ல பண்ணாம serious ah பண்ணா அந்த அக்காக்கு tribute ah இருந்திருக்கும்,Non-anti-LGBT+ content
48,யாரென்று தெரியாதவர்களுக்கு கூட கண்ணீர் விடுவது திருநங்கை தா,Non-anti-LGBT+ content
49,ஏய் போடி லுசு,Non-anti-LGBT+ content
50,நான் எனது 20வது வயதில் Hostel ல் எனது நண்பனை அனுகி அவனுடன் பாலியல் செய்தேன் அவன் என்னுடன் செய்த  bromance யை romance என்று நினைத்தேன் ஆனால் அது தவறு என்று பிறகே புரிந்து கொண்டேன் பாலியல் செய்ய ஒரு handsome partner கிடைத்தான் ஆனால் நல்ல நண்பனை இழந்தேன் என்னுடன் எவ்வித எதிர்பார்ப்பும் இன்றி பழகிய ஒரு நண்பனை  இழந்தேன் ஆகையால் உங்களுக்கு sex செய்ய ஆள்  நிறைய கிடைக்கும் ஆனால் நல்ல நண்பன் கிடைக்க மாட்டான் குழப்பி கொள்ளாதீர்கள் முடிந்த வரை உங்கள் நெருங்கிய str8 நண்பர்கள் மீது sex thought யை வளர்த்து கொள்ளாதீர்கள் அதற்கு வேறு நிறைய நண்பர்கள் gay siteல் கிடைப்பார்கள் தயவுசெய்து நான் செய்த தவறை செய்யாதீர்கள் ,Non-anti-LGBT+ content
51,இயற்கையின் ஒட்டு மொத்த குத்தகைதாரரா நீங்கள் அரை வேக்காடு பசங்களா,Non-anti-LGBT+ content
52,உன் மண்டையில மூலை நிறையா இருக்குப்பா,Non-anti-LGBT+ content
53,நாசமா அழிந்து போவதற்கான உச்சக்கட்ட வழி தேவன் அருவருக்கும் மிகப்பெரிய பாவம் இப்படி தான் சோதோம் கொமோரா ல ஓரினசேர்க்கை செய்து மிதந்து கிட்டு இருந்தாங்க தேவன் அந்த நகரத்த மண்ணோட மண்ணாக்கினார் மறுபடியும் கொரோனா மாதிரி அழிவு வராம இருக்க அதை சட்டம் பூர்வமாக தவறு னு சொல்லனும் சோதோம் கொமோரா அழிந்ததற்க்கான ஆதாரங்கள் பூமியில் இருக்கிறது,Homophobia
54,Nagarjun Rajeshwaran  போட பொட்ட நீ சப்படா ஒருத்தியும உன்னை விரும்பமாட்டா காரணம் உன்வாய்,Homophobia
55,ஒரு ஆண் மிருகம் ஆண் மிருகத்தோடு இன்பம் காண்பதில்லை ஓரினச்சேர்கை மிருக உறவைவிட கேவலமானது    இந்த தவறான உறவு முறை மாற்றப்பட வேண்டும் இப்படு பட்டவர்கள்  மனந்திரும்புதலுக்காக  இறைவனிடம் மன்றாடவேண்டும்,Homophobia
56,THE SKNANTHA  இது short flim என்று உனக்கு தெரியும் அந்த அக்காவுக்கு அப்போ தெரியாது உண்மையான மனதோடு நடந்துக்கொண்டது                      ,Non-anti-LGBT+ content
57,Gay ah பொறந்து அவங்க தப்பு இல்லைஅது ஆண்டவணின் திருவிளையாட்டால் உருவாக்கப்பட்ட ஒன்று அதாவது ஹார்மோன் மாறுபாட்டால் ஏற்படுகிறது ஆனால் சிலர் இயற்கைக்கு மாறானது என்கிறார்கள் அது தவறு ஏனென்றால் ஆண்டவனால் உருவாக்கப்பட்ட அனைத்தும் இயற்கை தானே அப்படியென்றால் இதுவும் இயற்கை தான் உண்மையான காதல் என்பது யார் மீது வேண்டுமானாலும் வரலாம்அதற்கு சாதிமதம்ஆண்பெண் என்று எதுவும் கிடையாதுஇந்த உலகத்துல எவனும் கலாச்சாரத்த முறையாக பின்பற்றுவதில்லை இதுவே உண்மைஆகையால் ஓரினச்சேர்க்கை என்பது தவறில்லை அவரவர் மனதிற்கு பிடித்த வாழ்க்கையை வாழ்கிறார்கள் ஏதாவது ஒரு மரம் வித்தியாசமாக இருந்தால் அதனை கடவுள் வணங்குகிறீர்களே அப்படியென்றால் இவர்களும் கடவுள் தான்                      ,Non-anti-LGBT+ content
58,உண்மையான அன்பு காட்டுகின்ற இந்த அக்காவிற்கு தலைவணகுகிறேன்,Non-anti-LGBT+ content
59,என்னடா சிம்பு மாரி பேசரா‍‍‍‍,Non-anti-LGBT+ content
60,அந்நிய நாட்டுக்காரன் அம்மாஅக்கா பொண்டாட்டினு மாத்தி மாத்தி போரான் அப்பாே அத நீ செய்வியா                      ,Homophobia
61,தமிழ்நாட்டில் இவ்வளவு  மோசமான நிலையில் இருக்கும் போது  யாரும் தெரியாத பையனிடம்  திருநங்கை அரவணைப்பது மிகவும் மகிழ்ச்சி இருக்கிறது திருநங்கைகளின் பாசத்தை வெளிக்கொண்டு வந்ததற்கு இந்த சேனலுக்கு நன்றி,Non-anti-LGBT+ content
62,தாங்கள் சொல்வது எனக்கு புரியவில்லை தமிழில் சொன்னால் நலமாயிருக்கும்நன்றி,Non-anti-LGBT+ content
63,Sivasankar Sivasankar அவரவருடைய வாழ்க்கையை அவரவர் தீர்மானிக்கட்டுமே ,Non-anti-LGBT+ content
64,காஞ்சனா படமெடுத்த ராகவா லாரன்ஸுக்கு இந்த வீடியோ சமர்ப்பணம்,Non-anti-LGBT+ content
65,கதை  இயக்கம் ஒளிப்பதிவு இசை அனைவரின் நடிப்புஅசரவைத்தது                      ,Non-anti-LGBT+ content
66,மனிதம் ஒன்றே தீர்வாகும்,Non-anti-LGBT+ content
67,நா பார்லர் வச்சி இருக்க வாங்க,Non-anti-LGBT+ content
68,இந்தப் பெண் முகமும் பார்வையும் பேசும் விதமும் தொனியும் வாதமும் மிகவும் அழுத்தமானது                      ,Non-anti-LGBT+ content
69,அட நாயே இதுல்லாம் ஓரு தீர்பு ஆணும் பெண்ணும் தான்டா உலகம் நீங்க லாம் எங்க இருந்துடா வரீங்க இதே காரெட் சொல்ற சில நாதாரிகள்,Homophobia
70,நீ உன்னோட பொழப்ப பாரு அடுத்தவனை கொர சொல்றத பொழப்பா வச்சிருந்தா நீ அருவறுப்பாயிடுவ,Non-anti-LGBT+ content
71,மிக மிக அருமையான பேச்சு,Non-anti-LGBT+ content
72,யார் இங்க கடவுள் அந்த மனசுதன் சார் கடவுள்,Non-anti-LGBT+ content
73,இவன்ர் சொல்வது  அனைத்தும் பொய்99திருநங்கைகள் பாலியல் தொழில் வலுக்கட்டாயமாக செய்யப்படுவது இல்லை இஷ்டப்பட்டே செய்கிறார்கள் இவர்களால் தான் எய்ட்ஸ் பரவியது இவர்கள் ஏன் திருநங்கைகளாக மாறுகிரார்கள் பென் தன்மை அதிகமாக இருந்தால் அதற்கு வைத்தியம் தேட வேன்டும் அதை விடுத்து திருநங்கையாக ஏன் மாற வேண்டும் பிறகு ஏன் புலம்ப வேன்டும் பாலியல் தொழில் ஏன் செய்ய வேண்டும் வீட்டிலேயே இருந்தால் அம்மா அப்பாவோ அன்னன் தம்பியோ இன்றில்லை நாளை பார்த்துக்கொள்வார்கள் இப்படி வெளியே வந்து ஏன் சின்னப்பட வேண்டும் சிந்தியுங்கள் இந்த சாக்கடையில் யார் உங்களை தள்ளியது என்ன என்ன ஆசை வார்த்தை கூறி இதில் இழுத்து விட்டார்கள் அந்த தருணத்தை நினைத்து பாருங்கள் உன்மை புரியும்,Transphobia
74,மனித இனத்துக்கு எதிரானது,Homophobia
75,கற்பழிப்பது இதே போல்தான் அல்லவா,Homophobia
76,அனைவருக்கும் வணக்கம் தமிழ்   பேசுவோம் ஆணும் பெண்ணும் கல்யாணம் பண்ணனும் சொல்ற எல்லாருக்கும் ஒரு விஷயம் தெரிஞ்சுனும் உங்களுக்கு யார் இதை சொன்னாங்க ச பண்றது எப்படின்னு சொல்லிக் கொடுத்தாங்களா யாருக்கு யாரும் சொல்லிக் கொடுப்பதில்லை யாருக்கு யார் மேல் காதல் வருவது என்று தெரியவில்லை ஆணும் பெண்ணும் தான் வாழ வேண்டுமென்றால் அதர்ஷ் பிபிள் எல்லாம் செத்துப்போவனுமா,Non-anti-LGBT+ content
77,ஒன்பது தொல்ல தாங்கல சாமியே,Non-anti-LGBT+ content
78,இனி ஆண்கள் பாலியல் பலாத்காரம் மற்றும் வன்கொடுமை நடக்கும்,Homophobia
79,எனக்கு கல்யாணம் ஆகிடுச்சு இல்லன்னா உங்கள கல்யாணம் பண்ணியிருப்பேன்,Non-anti-LGBT+ content
80,China Madathi   தமிழ் செல்லும்,Non-anti-LGBT+ content
81,Srithar Sri  தம்பி அவுங்கமேல தவறில்லை இது உடலில் ஏற்ப்படும் ஹார்மோன் கோளாரு,Non-anti-LGBT+ content
82,நல்லா இருந்தது நிகழ்ச்சி,Non-anti-LGBT+ content
83,Ha ha ha சூப்பர்  மேற்கத்திய  உலகம்  அதைப்பற்றி கொஞ்சம் அமெரிக்க நிலப்பரப்பின் பூர்வக்குடி மக்களை அழிச்சிட்டு அமெரிக்கா கனடான்னும் ஆஸ்திலிய பூர்வகுடிமக்களை அழிச்சிட்டு ஆஸ்திரேலியான்னு ஏகப்பட்ட நிலப்பரப்பையும் பெட்ரோலிய மார்க்கெட்  Medical drugs லிருந்து உரம் பூச்சிமருந்துபால்பவுடர் சோப்புGoogle Facebook ன்னு உலக வங்கி அவுங்க கைப்புள்ள ஐநா சபைஅப்புறம் ஆயுதவியாபாரம்இப்படி பணங்கொழுத்த நாட்டுல நடக்கிற காம கூத்துக்கள் வெளிநாட்டு முதலீட்டாளர்கள் மற்றும் உலக வங்கி கடனை நம்பி பொழப்பு நடத்துற நம்ம நாட்டுக்கும் நம்ம பண்பாட்டுக்கும்  ரொம்ப முக்கியம்  யோகி                      ,Non-anti-LGBT+ content
84,அப்துர் ரஹ்மான் ஏங்க இந்த மாதிரி பேசுறீங்கபாவபட்ட மனிதர்கள் அவர்கள்ஒரு சிலரை வைத்து அவர்களை தப்பா எட போடாதிங்கஇந்த உலகில் எல்லோரும்தான் ஊனம்தப்பு செய்பவர்கள் எல்லா இடத்திலும் இருக்கிறார்கள்,Non-anti-LGBT+ content
85,உங்கள் போல் உள்ளவர்கள் வாழ்க்கை அமைய இறைவனை வேண்டுகிறேன் உங்கள் பேச்சு மிக அழகு உண்மையை சொன்ன தங்கச்சிக்கு நன்றி உங்கள் ஆசை நிறைவேறும்வாழ்க்கைக்கு தேவையான பணத்தை சேர்த்து வைக்கவும் அருமை நன்றி மா                      ,Non-anti-LGBT+ content
86,ஒரினசேர்க்கை குற்றம் தான்விபசாரம் குற்றமா இல்லையா யாராவது வக்கீல் இந்த கேள்வியை நீதிமன்றத்தில் பொதுநல வழக்காக பதிந்தால் நலம்,Homophobia
87,கண்கள் குளமானது சாலையில் கண்ட ஒரு திருநங்கை தேவதை அன்புள்ளம் கொண்ட இந்த அழகி பல்லாண்டு வாழ்க,Non-anti-LGBT+ content
88,அரவாணிய கொல்லனும் உழைக்காம பிச்ச எடுத்து திங்கிற நாய்ங்க,Transphobia
89,உங்கநம்பர்வாட்சாப்ந குடுக்கலேமே,Non-anti-LGBT+ content
90,அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை  அருமை,Non-anti-LGBT+ content
91,வணக்கம் ஐயர் சார்இந்த படத்தை பார்த்தேன் நூறுக்கு மேற்பட்ட பின்னூட்டங்களை வாசித்தேன்எல்லாரும் அதிகமாக பாராட்டி இருக்கின்றார்கள் எனக்கு ஒரு சந்தேகம்குறிப்பா லத்தீப் என்று ஒரு முஸ்லிம் கதா பாத்திரம்ஏன்தவறாக நினைக்க வேண்டாம் அந்த காரனத்தை அறிய ஆவலாக உள்ளேன்ஹரீஸ்க்கு என்ன அடையாளம் கொடுத்து இருக்கின்றீர்அதை அழுத்தமாக கொடுக்க வில்லையே ஏன்இதற்கு பின் ஒரு காரணம் இருக்கும்அது தெரிந்து கொள்ள ஆவல்தெரிந்தால் இன்னும் சுவாரஸ்யமான தகவல்கள் கிடைக்கும்என்று நன்புகிறேன்பதில் வந்தால் தொடர்ந்து இந்த குறும்படம் பற்றிய பின்னூட்டத்தை நான் பதிவிடுவேன்பின்னூட்டத்திற்கு ஒரு மரியாதை கொடுக்கப்படும் என்ற நம்பிக்கை இருக்கின்றது,Non-anti-LGBT+ content
92,பார்த்திபன்  hiii,Non-anti-LGBT+ content
93,Gugan Baalraj  சாமான் சண்ட scientific ஆ வெக்கங்கெட்ட மூதி,Homophobia
94,தல வேற லெவல் உங்க வீடியோ எல்லாமே நான் பார்ப்பேன் செம்மையா இருக்கும் என்னோட ஃப்ரெண்ட்ஸ் எல்லாருக்கும் ஷேர் பண்ணுவேன் இந்த வீடியோ பார்க்கும் போது எனக்கு அழுகை தான் வருது இதுபோல் பிராங்க் வெரைட்டி வெரைட்டியா பண்ணுங்க எங்க சப்போர்ட் எப்பொழுதும் உங்களுக்கு இருக்கும்,Non-anti-LGBT+ content
95,பாரதி கருவாவதுக்கு லக்ஷம் வருஷம் முன்பே இங்கே தாய்மரபு உண்டு,Non-anti-LGBT+ content
96,வெளிநாட்டில் இருக்குதாம் அதனால சரியாதான் இதுக்குமாம்அங்க யாரு யாரு கூட வேணாலாம் போலாம்னா இவனுங்க வீட்டில இருக்கிறவங்கல அனுப்பிடுவானுங்களா,Non-anti-LGBT+ content
97,அக்கா நீங்க ரொம்ப நல்லவங்க,Non-anti-LGBT+ content
98,Raju Raju  நீங்க எந்த ஊரு நான் திருச்சி வாங்க மாவட்ட ஆட்சியர்ட்ட போவோம் உங்க புண்ணியத்துல oru3திருநங்கை  அரசின் உதவிகலை பெறுவோம்,Non-anti-LGBT+ content
99,அருமை கதை நானும் ஓரினச்சேர்க்கையை விரும்புகிறேன்காதலித்து காலம் முழுவதும் வாழ வேண்டும்ஆனால் நால்ல துணை வேண்டும்வயது19 காத்திருக்கிறேன் என் என் உறவுக்காக,Non-anti-LGBT+ content
100,அன்பே சிவம் ,Non-anti-LGBT+ content
101,Venkatesh Rajagopalan மிருகங்களிலும் இது சாதாரணம் யோசிக்காமல் இங்கே வந்து உளர வேண்டாம் மேதாவியே                      ,Non-anti-LGBT+ content
102,காசை மிரட்டி வாங்கும் கும்பல்தா சாவடிக்கனும் இதுங்கல,Transphobia
103,அவன் அவள் என்று அழைக்காமல் அனைவரையும் அவர் என்றே அழைப்போம்,Non-anti-LGBT+ content
104,இவனுக யாரு திருநங்கைகளை தப்பா பேச எவனையாவது ஒரு வேலை வாங்கி குடுக்க சொல்லு பொட்டை பயலுக ஓடிருவானுக  பாடுங்க,Non-anti-LGBT+ content
105,Kanagam G  என் பெயர் சங்கர் இது நம் தலை எழத்து,Non-anti-LGBT+ content
106,திருநெல்வேலி மாதிரி ஊர்கள்ல கொலை கூட பன்னிருக்கானுக,Homophobia
107,iniyan prasath  திருநங்கைஎன்றுகூறுதப்பாபேசினாஉன் குடும்பத்தில்ஒரு திருநங்கைகண்டிப்பாக பிறக்கும்என்னுடையவாழ்த்துதம்பி,Non-anti-LGBT+ content
108,அந்தப் பொண்ணு அவங்க இஷ்டப்படி விட்டுருங்க நீங்க வேற ஒரு பொண்ணை பாருங்க இல்லையென்றால் உங்கள் வாழ்க்கையும் சந்தோசமாக இருக்காது அந்த பொண்ணு வாழ்க்கையும் சந்தோசமாக இருக்காது,Non-anti-LGBT+ content
109,நல்லா வருவீங்க கவலைவேண்டாம்இறைவன் அருள்புரிவார்,Non-anti-LGBT+ content
110,அந்த film la vara மாதிரியே இருக்க டா,Non-anti-LGBT+ content
111,கால் பண்ணுங்க,Non-anti-LGBT+ content
112,எது இயற்கை  எது இயற்கைக்கு மாறானது என்பதை இந்திய நாட்டு உச்சநீதிமன்றம் முடிவெடுக்கும்  You pls shut your mouth ok,Non-anti-LGBT+ content
113,அம்மா நான் உங்களை ஒரு நாளும் ஆண் என சொல்ல விரும்புவதில்லை அர்த்த நாதிஸ்வரர் எனவும் சொல்ல மாட்டேன் நியும் ஒரு தாய் நான் உன்னை அம்மா என அழைப்பேன்  அம்மா,Non-anti-LGBT+ content
114,உங்களில் உத்தமமானவர்கள் மட்டும் அவர்கள் மிது கல் எறியுங்கள் forthosesocalledcristians,Homophobia
115,உங்களுக்கு  நள்ளது  நடந்தாள்  மிகவும் மகிழ்ச்சி திமிரான  பேச்சு வார்த்தைகள் அர்த்தமற்றவகைகளாக உள்ளது                       ,Non-anti-LGBT+ content
